universe_id,universe_model,universe_exclude_features,universe_exclude_subgroups,q_hat,coverage,avg_size
ff781731dcdee78c262ffadb63156903,penalized_logreg,nationality,keep-all,0.3924269846523947,0.8152937242224947,0.925827666926764
d68204b406b3db0bba5ef9dfec05f208,logreg,nationality,keep-all,0.3924269846523947,0.8152937242224947,0.925827666926764
41371f7240f084e92e79a21cc3dc2e21,logreg,none,drop-non-german,0.4031064829301729,0.8143350797012596,0.9274774272656338
f4aa7f1a938cc9245663d6b4d0596022,gbm,none,drop-non-german,0.3674465207838684,0.8151711069000112,0.9128636718314568
aeda81ea848062c8b09ab80466cf07c3,logreg,sex,drop-non-german,0.4039875223682495,0.8146471965221268,0.9295730687771708
37cb643ae0e5b9b35a6d97f8a210c57b,gbm,nationality,drop-non-german,0.3679012116992901,0.8151934009586446,0.9130085832125738
a1534888820cbfa843f49d2b4ef2514e,logreg,nationality,drop-non-german,0.4038828200923656,0.8143127856426262,0.9297960093635046
1485d41cc20949b2d1406cdcf750dbda,elasticnet,none,keep-all,0.4038615187111589,0.8134544643852414,0.933630587448445
04a5873dee9dbd78c41d68119fadece0,rf,none,drop-non-german,0.39,0.8134990525025081,0.9164418682421136
ac61dc4975b4c6e37c44b92d00e83325,penalized_logreg,none,keep-all,0.3934705163272201,0.8149927544309441,0.9242113476758445
ecc217051ed97339dd01598751d6478c,logreg,nationality-sex,drop-non-german,0.4055543653233853,0.8144576970237432,0.9278118381451343
418d84cd0641196cf291bbbd3833bfcd,elasticnet,sex,keep-all,0.4038484693298672,0.813465611414558,0.9336417344777616
ffcd4f6171bad9a7f64bfbb74787f9df,penalized_logreg,nationality,drop-non-german,0.4038828200923656,0.8143127856426262,0.9297960093635046
e75ce59377fbc92b60669778f4c1fa95,logreg,nationality-sex,keep-all,0.4002326305057659,0.8155166648088285,0.9259391372199308
12a5fec09c1184e64c2b9398314839d5,logreg,sex,keep-all,0.391405485836403,0.8131869356816408,0.923118938802809
d4731eaaaf4b2afab254d28e236bc980,elasticnet,none,drop-non-german,0.4056471885398574,0.8139337866458589,0.9357931111358824
47601ce248a345cf80aa089cf9880cfa,rf,nationality-sex,drop-non-german,0.39,0.8152937242224947,0.9173224835581316
ece8e37d5f78a0b66773e8fa931dd6da,gbm,nationality-sex,keep-all,0.365051298947841,0.8166313677404972,0.913643963883625
8b2c11c19583e4d5b9a213b53e76730c,elasticnet,nationality-sex,keep-all,0.4037469638224538,0.8134544643852414,0.9336194404191284
027bf915af12d3f79f06c5867c0eddfb,rf,nationality-sex,keep-all,0.39,0.8131089064764241,0.9166536617991304
e8eaa36c366e8a0bafd246c24a31869b,penalized_logreg,nationality-sex,drop-non-german,0.4055543653233853,0.8144576970237432,0.9278118381451343
8015739cd8f10b3c9f2ea76759557c73,penalized_logreg,sex,keep-all,0.391405485836403,0.8131869356816408,0.923118938802809
1a046868f549224919d5aea86afcaf91,rf,none,keep-all,0.39,0.8167651320922974,0.9215917957864228
8965b8a88eed81e49c3d4c63da1705e0,elasticnet,sex,drop-non-german,0.4056567052393171,0.8139337866458589,0.9357819641065656
e95235cea9f300cc59b8bea683dd19b1,rf,sex,drop-non-german,0.39,0.8171329840597481,0.9192955077471854
87e1eecf7f2d100c4707dece3f2e668c,penalized_logreg,none,drop-non-german,0.4031064829301729,0.8143350797012596,0.9274774272656338
f1db0d7a1518f502c13447817490b26e,gbm,nationality,keep-all,0.3649723601863582,0.8173001894994983,0.9143685207892096
630882776e420e2a50ab68c1f76a8700,rf,nationality,keep-all,0.39,0.8161631925091963,0.9212462378776056
b1622a8e1f50f7787d172a6f7cf6c977,penalized_logreg,nationality-sex,keep-all,0.4002326305057659,0.8155166648088285,0.9259391372199308
c0e33c3e2220da8b49cf0ce915df6679,logreg,none,keep-all,0.3934705163272201,0.8149927544309441,0.9242113476758445
884b918e8ede8673362fc916ebb89c2b,elasticnet,nationality-sex,drop-non-german,0.4055874695757517,0.8139895217924423,0.9358265522238324
07869d397bdca213cd6ca6d37961cca4,elasticnet,nationality,drop-non-german,0.4055589909014608,0.8139672277338089,0.9358154051945156
c695dfe1666988e99123eaf9290c2d84,penalized_logreg,sex,drop-non-german,0.4039875223682495,0.8146471965221268,0.9295730687771708
d666e2b26ad834a3a31caefc780fa30b,gbm,sex,keep-all,0.3640336106873585,0.8164084271541634,0.9128079366848736
477d49ef12fbd6cddc136c12b06b590b,gbm,nationality-sex,drop-non-german,0.3681922743064101,0.8159291048935459,0.9138000222940588
ebd6a5f4ac7d0aad41b3828de7e9e29e,gbm,sex,drop-non-german,0.3682405698098292,0.8158622227176457,0.9137665812061084
26d2c708e959f2c346ebb7bcb62376f8,elasticnet,nationality,keep-all,0.4038816990093151,0.8134544643852414,0.9336528815070784
0f43291b17a5b4460355d5d20bb34cd2,gbm,none,keep-all,0.3621839800320676,0.8162746628023632,0.9131646416230076
81ac7889fc07902c57957226865f24e5,rf,sex,keep-all,0.39,0.8181473637275666,0.922372087838591
338397ae0ea0b5f086116cbd3197dacc,rf,nationality,drop-non-german,0.39,0.8147029316687103,0.9186489800468176
