,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.8765725844248233,0.8765725844248233,0.15390434667596667,0.15390434667596667
4,universe_exclude_features,universe_model,,0.0726473051204004,0.9707729036660144,0.10075342710566805,0.031604078340581
0,universe_exclude_features,,,0.02155301412079068,0.02155301412079068,0.046550007647014474,0.046550007647014474
5,universe_exclude_subgroups,universe_model,,0.009460675106850627,0.8905726391475555,0.006392179875952965,0.15014901918186138
3,universe_exclude_features,universe_exclude_subgroups,,0.008723394355438287,0.03481578809211051,0.01806791273261892,0.06078955685770045
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.0065036472558125825,0.9999999999999974,0.013207431576503099,4.732549472458586e-15
1,universe_exclude_subgroups,,,0.004539379615881542,0.004539379615881542,0.0068242874444036875,0.0068242874444036875
