,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.3782125768551754,0.3782125768551754,0.12563644688405012,0.12563644688405012
4,universe_exclude_features,universe_model,,0.19023318141782863,0.718915750239789,0.10278017800764291,0.13181316526521206
0,universe_exclude_features,,,0.15046999196678507,0.15046999196678507,0.08491585154876904,0.08491585154876904
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.11555335579790421,0.9999999999999996,0.06805493353032699,1.6245905317304628e-15
3,universe_exclude_features,universe_exclude_subgroups,,0.07686595571812019,0.2630227987578265,0.055385983037985316,0.09493875047960226
5,universe_exclude_subgroups,universe_model,,0.05297808717126478,0.4668775150993614,0.0445280232307188,0.12542801138851292
1,universe_exclude_subgroups,,,0.035686851072921216,0.035686851072921216,0.0367164442261158,0.0367164442261158
