,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.5254525762737459,0.5254525762737459,0.15536970549709797,0.15536970549709797
4,universe_exclude_features,universe_model,,0.24234807874531622,0.8884020259047276,0.09091548934991896,0.0926451809494682
0,universe_exclude_features,,,0.12060137088566553,0.12060137088566553,0.10071352840374088,0.10071352840374088
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.049713170276282706,0.9999999999999997,0.03732127751899198,2.4120218025558894e-15
5,universe_exclude_subgroups,universe_model,,0.029471534289689745,0.5613096295131816,0.03249215356805554,0.15646711116537151
3,universe_exclude_features,universe_exclude_subgroups,,0.026027750579553612,0.1530146404149652,0.03702396679144115,0.09716189490179322
1,universe_exclude_subgroups,,,0.006385518949746069,0.006385518949746069,0.008287921095123609,0.008287921095123609
