,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.26804581588882154,0.26804581588882154,0.10967779852144545,0.10967779852144545
4,universe_exclude_features,universe_model,,0.21527388646990225,0.6096999459042088,0.07085859902800533,0.16143498316765087
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.1760881739976135,1.0000000000000013,0.07970871892049126,2.6281467144264194e-15
0,universe_exclude_features,,,0.12638024354548502,0.12638024354548502,0.08534737657487419,0.08534737657487419
1,universe_exclude_subgroups,,,0.08283051842191386,0.08283051842191386,0.10172863431190411,0.10172863431190411
3,universe_exclude_features,universe_exclude_subgroups,,0.0752918247104748,0.28450258667787365,0.04095174744664938,0.09396096586516912
5,universe_exclude_subgroups,universe_model,,0.056089536965790276,0.4069658712765257,0.03764608938230395,0.09983239658465468
