,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.7680134960464324,0.7680134960464324,0.25474530433612597,0.25474530433612597
0,universe_exclude_features,,,0.09468013733308099,0.09468013733308099,0.11722689077078219,0.11722689077078219
4,universe_exclude_features,universe_model,,0.0803938430073599,0.9430874763868733,0.08918869288049688,0.10693791411818741
5,universe_exclude_subgroups,universe_model,,0.02431962997477802,0.8014872576448477,0.0456701767581139,0.2287610202649306
3,universe_exclude_features,universe_exclude_subgroups,,0.014585130920533956,0.11841939987725225,0.047582316684896646,0.14638967306675277
1,universe_exclude_subgroups,,,0.009154131623637304,0.009154131623637304,0.012990197920811266,0.012990197920811266
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.008853631094175737,0.9999999999999982,0.020208564247310754,3.9023983979418035e-15
