,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.2650099890581439,0.2650099890581439,0.11614128676844215,0.11614128676844215
0,universe_exclude_features,,,0.2358773164072371,0.2358773164072371,0.13030490203590478,0.13030490203590478
4,universe_exclude_features,universe_model,,0.23108123392453647,0.7319685393899175,0.0640032308967079,0.090649495770892
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.12517870408156473,1.0000000000000004,0.07053065507391952,2.695436536482803e-15
3,universe_exclude_features,universe_exclude_subgroups,,0.05847448178409202,0.32152816372890314,0.04027380839104361,0.11581167447577938
5,universe_exclude_subgroups,universe_model,,0.05720190920685228,0.34938826380257015,0.035566662252149876,0.15294059542916705
1,universe_exclude_subgroups,,,0.027176365537573997,0.027176365537573997,0.03167727687317373,0.03167727687317373
