,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.29524142765713784,0.29524142765713784,0.07583120730746866,0.07583120730746866
4,universe_exclude_features,universe_model,,0.20937501441946763,0.6669664274474516,0.0883677396503456,0.15381183900428996
0,universe_exclude_features,,,0.16234998537084605,0.16234998537084605,0.08881546068123572,0.08881546068123572
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.12008959625390696,1.0000000000000018,0.046172577666421126,2.2943303432590505e-15
5,universe_exclude_subgroups,universe_model,,0.10711887061357327,0.45880250860607896,0.08025429462212724,0.1330025395843887
1,universe_exclude_subgroups,,,0.05644221033536783,0.05644221033536783,0.05974719096221717,0.05974719096221717
3,universe_exclude_features,universe_exclude_subgroups,,0.049382895349702124,0.26817509105591597,0.04545630321907187,0.08198201038423604
