,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.5491288124833127,0.5491288124833127,0.3407129698062548,0.3407129698062548
4,universe_exclude_features,universe_model,,0.16647334213033455,0.8468959325097982,0.1893938313099883,0.23086500748818511
0,universe_exclude_features,,,0.13129377789615104,0.13129377789615104,0.16168696628690665,0.16168696628690665
3,universe_exclude_features,universe_exclude_subgroups,,0.07105462050236816,0.22949304176074847,0.17659769073143305,0.30634776798362656
5,universe_exclude_subgroups,universe_model,,0.05122587564403052,0.6274993314895725,0.11795945415513803,0.3549922635679264
1,universe_exclude_subgroups,,,0.02714464336222929,0.02714464336222929,0.04828094849629902,0.04828094849629902
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.003678927981575646,1.0000000000000009,0.005588860038479662,8.506574530473179e-15
