,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.38543797938061697,0.38543797938061697,0.15006840166161442,0.15006840166161442
4,universe_exclude_features,universe_model,,0.19899960007537465,0.7461374430749309,0.07322527456026011,0.10710134495955782
0,universe_exclude_features,,,0.1616998636189393,0.1616998636189393,0.1401907982704706,0.1401907982704706
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.09764206490041666,0.9999999999999998,0.03423396807251447,3.1472913576554096e-15
3,universe_exclude_features,universe_exclude_subgroups,,0.06017943074191776,0.25882505139322354,0.04920170612513938,0.12670540618242812
5,universe_exclude_subgroups,universe_model,,0.05909530425036802,0.48147904066335145,0.034717230958477965,0.16197301755549393
1,universe_exclude_subgroups,,,0.03694575703236645,0.03694575703236645,0.044202236606174415,0.044202236606174415
