,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.40053881370007494,0.40053881370007494,0.17185871268548358,0.17185871268548358
4,universe_exclude_features,universe_model,,0.23702599482241754,0.8009112874289821,0.10219100183190793,0.09196588382618105
0,universe_exclude_features,,,0.16334647890648968,0.16334647890648968,0.10063032775183088,0.10063032775183088
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.10047570232087114,0.9999999999999998,0.04880940699243596,3.815962673235027e-15
3,universe_exclude_features,universe_exclude_subgroups,,0.054911352874579454,0.23312969460369154,0.04211669299302198,0.12372303700123552
5,universe_exclude_subgroups,universe_model,,0.02882979455294452,0.4442404710756419,0.023046515293490055,0.16242596009124988
1,universe_exclude_subgroups,,,0.014871862822622395,0.014871862822622395,0.02443119071792046,0.02443119071792046
