,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.3426389872380786,0.3426389872380786,0.12002479873008937,0.12002479873008937
4,universe_exclude_features,universe_model,,0.32504763699864647,0.7821464978201038,0.15053043956826265,0.15756945104715467
0,universe_exclude_features,,,0.11445987358337882,0.11445987358337882,0.06367271496153612,0.06367271496153612
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.10273275670522632,0.9999999999999998,0.07558837770575182,3.531181223321839e-15
5,universe_exclude_subgroups,universe_model,,0.06043630772589839,0.43231582773177424,0.05704365755109149,0.1294252157673113
1,universe_exclude_subgroups,,,0.029240532767797256,0.029240532767797256,0.04441614878184176,0.04441614878184176
3,universe_exclude_features,universe_exclude_subgroups,,0.025443904980973906,0.16914431133214997,0.02387858252877271,0.09153178449612809
