,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.43863916856126517,0.43863916856126517,0.32936641250637877,0.32936641250637877
1,universe_exclude_subgroups,,,0.15209359746279555,0.15209359746279555,0.135343341061779,0.135343341061779
5,universe_exclude_subgroups,universe_model,,0.12656284680435162,0.7172956128284124,0.13594039202776367,0.31914524497743263
0,universe_exclude_features,,,0.1123956285529972,0.1123956285529972,0.14887455962403823,0.14887455962403823
3,universe_exclude_features,universe_exclude_subgroups,,0.09582478859370744,0.3603140146095002,0.14374118305577505,0.3186733385093425
4,universe_exclude_features,universe_model,,0.0544068687643115,0.6054416658785738,0.1234674023682481,0.25278825599243043
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.020077101260571124,0.9999999999999991,0.031396072093764334,8.257925131100624e-15
