,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.49110301513280574,0.49110301513280574,0.22658914323588294,0.22658914323588294
4,universe_exclude_features,universe_model,,0.19175774665696016,0.8566101503966618,0.1676813981544888,0.19677238758398627
0,universe_exclude_features,,,0.17374938860689593,0.17374938860689593,0.2516211847454902,0.2516211847454902
5,universe_exclude_subgroups,universe_model,,0.06316030987783075,0.5901648215615966,0.11901467998395314,0.2690008405996526
1,universe_exclude_subgroups,,,0.03590149655096014,0.03590149655096014,0.07416245590812136,0.07416245590812136
3,universe_exclude_features,universe_exclude_subgroups,,0.024690036721092844,0.2343409218789487,0.05702601250683927,0.28450198988613495
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.019638006453455294,1.0000000000000004,0.030683936030698966,5.058372749130995e-15
