,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.40015181491720725,0.40015181491720725,0.10045901825812331,0.10045901825812331
4,universe_exclude_features,universe_model,,0.21135046300609137,0.701267011590959,0.09826502638881357,0.1269018314814199
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.11675664379462383,1.0000000000000004,0.05171439154608778,3.0515990016876664e-15
0,universe_exclude_features,,,0.08976473366766038,0.08976473366766038,0.06994678462060377,0.06994678462060377
5,universe_exclude_subgroups,universe_model,,0.0890452292233934,0.5400050980784836,0.08180105328696477,0.11812184287431705
1,universe_exclude_subgroups,,,0.05080805393788296,0.05080805393788296,0.04192311662447339,0.04192311662447339
3,universe_exclude_features,universe_exclude_subgroups,,0.042123061453141264,0.18269584905868458,0.027961707591235962,0.06039466346007872
