universe_id,universe_training_size,universe_scale,universe_model,universe_exclude_features,universe_exclude_subgroups,q_hat,coverage,avg_size,cov_frau1,cov_nongerman,cov_nongerman_male,cov_nongerman_female
7e2a94ff9b46cab1204f0795f63d2c64,25k,do-not-scale,elasticnet,age,drop-non-german,0.6531205214617208,0.9108572065544532,1.2450117043807825,0.907912117536056,0.9555942289339246,0.966045213005494,0.938301043219076
2dc0e1c135c0ab3edeaee3404d39c22d,2014,scale,penalized_logreg,sex,drop-non-german,0.6739813043470876,0.9123843495708394,1.1204213577081708,0.9123062407332524,0.9093358782911356,0.9242547059353328,0.8846497764530551
db3dabf2bc9aa7c4abe89496dc71e73b,25k,scale,penalized_logreg,age,keep-all,0.6661350067020951,0.9098428268866348,1.1273213688552002,0.9078851597250304,0.9081569640150452,0.9249752319193012,0.8803278688524591
f7809f3496a950b396f4331ce6c8c3cd,25k,scale,rf,nationality,keep-all,0.6599999999999999,0.9146360494928102,1.1494705161074574,0.9137619625286428,0.906753494638747,0.9196613527875348,0.8853949329359165
97d17cec2e970b627e37de65eaa733aa,25k,do-not-scale,rf,none,drop-non-german,0.65,0.9140675509976592,1.1427265633708616,0.9136810890955654,0.9079885476898896,0.9231739169593804,0.8828614008941877
a7230360c91a2656c3e0c5766a70f1ce,1k,scale,rf,nationality-sex,drop-non-german,0.64,0.9139003455579088,1.149827221045591,0.9113357595363256,0.902823780385112,0.9232639827073764,0.8690014903129657
fca74aa3c7aaaab5829a3e28289d96d0,5k,scale,gbm,none,keep-all,0.6846225555496581,0.9109909709062536,1.1311670939694571,0.9107966033158108,0.9115814292932128,0.9254255606592812,0.8886736214605067
7fe906ff4a57ddd4dbd4f0060ab2e4f2,25k,do-not-scale,penalized_logreg,none,drop-non-german,0.667985062798682,0.9109463827889868,1.20911826998105,0.910661814260682,0.934879020939763,0.94659101143835,0.9154992548435172
f0b998cd6c7da92fcac2ac051b671fe9,5k,do-not-scale,logreg,age,drop-non-german,0.6732728601597613,0.9141232861442424,1.2545535614758667,0.9147324437255696,0.9659237635434796,0.9699180401693236,0.9593144560357676
0506614d86a484a76b1e4482f232e595,5k,do-not-scale,elasticnet,age,drop-non-german,0.6631116975097551,0.914959313342994,1.255746293612752,0.9152176843240328,0.964800988042441,0.9697379086733317,0.9566318926974664
8b6d102409c8ff2d0feaec06a9de82f4,2014,scale,rf,sex,keep-all,0.6599999999999999,0.9171887192063316,1.1442314123286144,0.917859549804556,0.9134901476449784,0.926866612627218,0.8913561847988077
4650eab9b8faada2dba4b2f618ff7b50,25k,scale,logreg,nationality,drop-non-german,0.659467698378766,0.9101326496488684,1.1249804926986957,0.9079929909691332,0.9102340986919666,0.927136809871206,0.8822652757078987
c6ce6be2aa56e14962606dbe516b4dc9,5k,scale,rf,age,keep-all,0.6799999999999999,0.9154720766915616,1.1539181808048156,0.9119557891899178,0.9110200415426936,0.9253354949112852,0.8873323397913562
949054d66671c26fdb61e800e73ca93e,25k,scale,rf,age,drop-non-german,0.6599999999999999,0.9158064875710624,1.1485341656448556,0.9137619625286428,0.9116937068433166,0.927587138611186,0.8853949329359165
1bae282befaf5b895de3ca9ab1475173,1k,scale,gbm,age,drop-non-german,0.7765924572679745,0.9062200423587116,1.1928101660907369,0.904434559913735,0.9062482456632796,0.9231739169593804,0.8782414307004471
fb9a54b63890ba2ff100c8011b3ebbec,25k,do-not-scale,rf,nationality,keep-all,0.6599999999999999,0.914925872255044,1.1498495151042247,0.9141932875050546,0.9074271599393702,0.9196613527875348,0.8871833084947839
7163911a49d78d51026764e9ea55c317,2014,do-not-scale,rf,nationality-sex,keep-all,0.6599999999999999,0.9167316910043474,1.1430163861330955,0.9169699420407064,0.9143322292707572,0.927587138611186,0.8923994038748138
31f681cede215c6f039c7654e2a259ec,25k,scale,penalized_logreg,sex,drop-non-german,0.6596793237259716,0.9100657674729684,1.1248021402296289,0.909502628386575,0.9100656823668108,0.9256957579032694,0.8842026825633383
fc6fc16329ae5cf33f070fded762cbde,2014,do-not-scale,elasticnet,sex,drop-non-german,0.6891121577177177,0.9114591461375544,1.1320365622561588,0.9105000673945276,0.9069219109639028,0.9228136539673962,0.8806259314456035
3eaae1e014e0bcc86c9201cf12a9b566,2014,scale,logreg,sex,keep-all,0.6729013343852317,0.9125292609519564,1.1209675621446884,0.913303679741205,0.9110761803177456,0.9255156264072774,0.8871833084947839
73abfeab67914ca2ece3ba0a50a653bf,25k,scale,gbm,sex,keep-all,0.6663560648186171,0.9125515550105896,1.1170772489131646,0.9127375657096644,0.9110200415426936,0.9262361523912456,0.8858420268256334
330ce0c5f6a361f759b3849fa3321ce6,2014,do-not-scale,elasticnet,nationality-sex,drop-non-german,0.6891390839827733,0.911470293166871,1.132025415226842,0.9105539830165792,0.9068657721888508,0.9227235882194,0.8806259314456035
588a911e5992a6975469bc8a9ec9fbc5,2014,do-not-scale,gbm,nationality,drop-non-german,0.6647254173725851,0.9111024411994204,1.1080704492252815,0.9119018735678665,0.9081008252399932,0.9236242456993604,0.882414307004471
13d9e8788732736c5ef306bf4e6bff31,1k,do-not-scale,penalized_logreg,nationality-sex,keep-all,0.6993868817170328,0.9104559134990524,1.217211013264965,0.909502628386575,0.9241003761297928,0.9397460145906512,0.8982116244411327
5a4424b072c4e37fe6170f7d0da56b36,2014,scale,rf,age,keep-all,0.6699999999999999,0.9172333073235984,1.1475420800356706,0.9177517185604528,0.9140515353954975,0.92704674412321,0.892548435171386
2b628d3740f57a35e4ffae9a0ffc677b,1k,do-not-scale,rf,none,keep-all,0.65,0.913855757440642,1.149202987403857,0.9127106078986388,0.9087744905406164,0.9244348374313248,0.8828614008941877
838830be5d0a7bf1ee34f30591ac518d,5k,scale,gbm,age,keep-all,0.7085306510952342,0.9113030877271208,1.144610411325382,0.9098530799299096,0.9100656823668108,0.924614968927317,0.8859910581222057
0b89fcbe4a1717c4d173abf3ae57c87d,5k,do-not-scale,logreg,nationality,drop-non-german,0.6763762174000252,0.9124400847174228,1.2162189276557798,0.913195848497102,0.9406051759950598,0.9492929838782312,0.9262295081967212
e4419df95996d2839752f489c935ab18,5k,scale,rf,none,keep-all,0.6699999999999999,0.9161186043919296,1.1495708393713076,0.9145437390483891,0.9111323190927972,0.9250652976672972,0.8880774962742176
