,level_0,level_1,level_2,level_3,level_4,level_5,individual importance,total importance,individual std,total std
45,universe_exclude_features,universe_exclude_subgroups,universe_scale,universe_training_year,,,0.00021626442050657403,0.3546501995631075,0.00011863663773854206,0.0041600881613576435
14,universe_exclude_subgroups,universe_training_year,,,,,0.00020539633969865657,0.0022702548501851924,0.0001348914691180032,0.00046628662430190564
28,universe_exclude_features,universe_scale,universe_training_size,,,,0.00019415394197614012,0.34847380929345734,0.000104552577691091,0.004419538683590166
51,universe_exclude_subgroups,universe_model,universe_scale,universe_training_size,,,0.00019342667492549322,0.8882806550124231,0.00012977339411134574,0.0033958201907532412
24,universe_exclude_features,universe_exclude_subgroups,universe_training_year,,,,0.00017555580805964798,0.013906307608194729,9.126874463051526e-05,0.0011189850414392312
13,universe_exclude_subgroups,universe_training_size,,,,,0.00017326901863578555,0.0017515433522641752,9.56767813067184e-05,0.0002486741216964561
44,universe_exclude_features,universe_exclude_subgroups,universe_scale,universe_training_size,,,0.00016547616070066758,0.35391153931033714,0.0001298700161557632,0.0044278107340003005
23,universe_exclude_features,universe_exclude_subgroups,universe_training_size,,,,0.00015838422298962017,0.013223564913929786,6.798474940590242e-05,0.0012613620218166598
35,universe_exclude_subgroups,universe_scale,universe_training_year,,,,0.00010213930309881984,0.32035373636825387,7.868238888808698e-05,0.004320702905332804
34,universe_exclude_subgroups,universe_scale,universe_training_size,,,,6.312486492058954e-05,0.31995932364845503,4.4885733730194584e-05,0.004497638432980817
