universe_id,universe_training_year,universe_training_size,universe_scale,universe_model,universe_exclude_features,universe_exclude_subgroups,q_hat,coverage,avg_size,cov_frau1,cov_nongerman,cov_nongerman_male,cov_nongerman_female
2355d7bfe8294f8157de46ed8edc7bf7,2014,5k,do-not-scale,logreg,nationality-sex,keep-all,0.6814696962413396,0.91093523575967,1.1973024189053618,0.9085051893786223,0.92488631898052,0.9402864090786274,0.8994038748137109
2d16c60d03d38e12b7f8b53c6c0ec18a,2014,25k,scale,rf,nationality,drop-non-german,0.6699999999999999,0.9162858098316798,1.1569724668375878,0.9164577436312172,0.9142199517206534,0.9279474016031704,0.89150521609538
fbcced2a4402ef744c7575370b1a9ef1,2012_14,5k,scale,gbm,nationality-sex,keep-all,0.6911211872885445,0.9094303868019172,1.1230966447441757,0.90497371613425,0.9069780497389548,0.9242547059353328,0.8783904619970194
226a506f4560c0375082c005cb7fdde2,2012_14,25k,do-not-scale,elasticnet,sex,drop-non-german,0.6575297365397299,0.9139114925872256,1.2491361052279568,0.9127645235206902,0.9609274125638578,0.9681167252094028,0.94903129657228
3e3aba496858c4fcba82d2d8c53d6960,2012_14,5k,do-not-scale,elasticnet,age,drop-non-german,0.6709347942445741,0.9126407312451232,1.2800579645524468,0.9093139237093948,0.965530792118116,0.9740610645771414,0.9514157973174366
85de1045f7e178ec2a7da33c4c80336a,2014,25k,scale,rf,age,keep-all,0.6699999999999999,0.914892431167094,1.1441087950061308,0.9144359078042864,0.9127042047942514,0.9265063496352336,0.889865871833085
8c1af794d397b2580cf7f3e8333b7ae9,2010_14,1k,do-not-scale,rf,age,keep-all,0.6599999999999999,0.9143685207892096,1.1565934678408205,0.9145437390483891,0.9100095435917588,0.924795100423309,0.8855439642324888
8ecfb7e94b67b788c84c76e88f346712,2010_14,25k,scale,logreg,nationality-sex,keep-all,0.6599275646383496,0.9103555902352024,1.1250362278452792,0.9104731095835018,0.9119182619435244,0.92704674412321,0.8868852459016393
a594f57312006ac6ebcfe07ee98fd7b7,2014,1k,do-not-scale,rf,sex,drop-non-german,0.6599999999999999,0.912540407981273,1.143139003455579,0.9084782315675968,0.90596755178802,0.9255156264072774,0.8736214605067064
312ed0dce7f107a0e3861330b57c5dfb,2014,25k,do-not-scale,penalized_logreg,none,keep-all,0.6815929549826574,0.911648645635938,1.1988852970683312,0.9095565440086264,0.928030090383428,0.9422678555345402,0.9044709388971685
c18382a3c50e1c34c672010a2350d0e8,2010_14,1k,do-not-scale,penalized_logreg,nationality-sex,keep-all,0.6947423126723434,0.9110021179355702,1.2133429940920744,0.910446151772476,0.9261775108067142,0.9408268035666036,0.9019374068554395
ba201b4ae87e12530270a9a112b49de0,2012_14,5k,do-not-scale,gbm,age,keep-all,0.7088011543745274,0.9101772377661352,1.131523798907591,0.9034640787168082,0.905855274237916,0.9242547059353328,0.8754098360655738
04d6294366f7c5e4387f6e59a4f7bfc6,2012_14,5k,scale,rf,nationality,drop-non-german,0.6699999999999999,0.9119050273102218,1.1410545089733586,0.9047850114570696,0.909055184415876,0.9306493740430516,0.8733233979135618
cec8bf8b5ee7d9a03eab2fa29d6f898a,2012_14,5k,scale,gbm,sex,keep-all,0.6913207909420612,0.909508416007134,1.1232749972132428,0.905189378622456,0.9070903272890586,0.9243447716833288,0.8785394932935916
8c5fdf9f41b6dd6ba3022017484fd930,2014,1k,scale,penalized_logreg,nationality,drop-non-german,0.7696733111835672,0.9090848288931,1.2160071340987626,0.9047310958350182,0.9057429966878122,0.924795100423309,0.8742175856929956
47d75506b72236ce4fe04272e47da429,2012_14,25k,do-not-scale,rf,age,keep-all,0.6599999999999999,0.915282577193178,1.1428380336640285,0.9140045828278744,0.913883119070342,0.9300189138070792,0.8871833084947839
0904623ab15b764f0ffb8f00e77d8687,2012_14,5k,scale,logreg,nationality-sex,keep-all,0.6861310103759188,0.9110578530821536,1.1368966670382343,0.9081547378352878,0.910683208892382,0.9267765468792218,0.884053651266766
fded1252dc98d57908f824e5d1a56863,2010_14,1k,do-not-scale,logreg,none,drop-non-german,0.6960520288726956,0.911938468398172,1.2404971575075243,0.912252325111201,0.9345421882894516,0.9470413401783302,0.913859910581222
ea8adc3675ca0404b43dc033d4cec283,2010_14,25k,do-not-scale,logreg,none,keep-all,0.673671679915707,0.9121614089845056,1.2037676959090402,0.9117940423237632,0.931847527086959,0.9438890389984688,0.9119225037257824
01bd7d054b834d0c6f8086a8f49a51a9,2010_14,5k,do-not-scale,penalized_logreg,none,keep-all,0.6851850202898279,0.9126072901571732,1.202530375654888,0.9122253673001752,0.931791388311907,0.9437989732504728,0.9119225037257824
469d9947a0200e517df5dcbf32651515,2012_14,5k,scale,elasticnet,nationality-sex,drop-non-german,0.6918953953552243,0.9110578530821536,1.135269200757998,0.9076425394257986,0.9074271599393702,0.9253354949112852,0.8777943368107303
25ac835da30477b4457237e7806fa812,2010_14,5k,scale,gbm,sex,drop-non-german,0.692417276579403,0.9116374986066214,1.146449671162635,0.9121714516781236,0.912311233368888,0.9252454291632892,0.8909090909090909
652b01732ea8b24af1798f576fbb62b3,2010_14,5k,do-not-scale,logreg,nationality,keep-all,0.6832193219273258,0.911615204547988,1.193947163081039,0.910769645504785,0.9259529557065064,0.9397460145906512,0.903129657228018
ab6d724b84452bdf95990e489e14665a,2012_14,1k,do-not-scale,rf,none,keep-all,0.6699999999999999,0.9161631925091964,1.1566937911046706,0.9141663296940288,0.906697355863695,0.9245249031793208,0.8771982116244411
170244a627acf92dd2aa5db16aa9fd48,2012_14,25k,do-not-scale,penalized_logreg,nationality-sex,keep-all,0.6801160268817696,0.9116263515773046,1.1983390926318136,0.9107426876937592,0.9274125638578566,0.9413671980545798,0.9043219076005962
d5bd755f840af4a8dd001d7750391279,2012_14,25k,do-not-scale,rf,none,keep-all,0.6599999999999999,0.9153829004570282,1.143317355924646,0.9154063890012132,0.9135462864200304,0.927136809871206,0.8910581222056632
