universe_id,universe_model,universe_exclude_features,universe_exclude_subgroups,universe_scale,q_hat,coverage,avg_size,cov_frau1,cov_nongerman,cov_nongerman_male,cov_nongerman_female
4356e83194008df6152c133bfc881349,penalized_logreg,nationality-sex,keep-all,scale,0.6611530621982908,0.9114145580202876,1.1245011704380783,0.912144493867098,0.91062707011733,0.9253354949112852,0.8862891207153503
41eaf70782011ea35bf8303122f41955,elasticnet,none,drop-non-german,do-not-scale,0.685251051280641,0.9066436294727456,1.1350239661130308,0.9054319989216876,0.9069780497389548,0.922183193731424,0.8818181818181818
60eeda26081f16b3f8f6849c5e95d393,penalized_logreg,nationality-sex,drop-non-german,do-not-scale,0.6691114541400532,0.9117266748411548,1.211715527811838,0.9116592532686346,0.9351597148150228,0.946681077186346,0.9160953800298064
4174901d0e4d984240c819a4abc731b9,gbm,none,drop-non-german,scale,0.6587252055172536,0.9114591461375544,1.110645412997436,0.914570696859415,0.9095604333913434,0.9252454291632892,0.8836065573770492
22c2dffeab3d2bb5c3ec86fe0972c853,logreg,nationality,drop-non-german,scale,0.6602981906726765,0.911470293166871,1.1247464050830454,0.9114166329694028,0.9104586537921744,0.9257858236512654,0.885096870342772
2c3b30663b075625164ddbef45549848,elasticnet,sex,keep-all,do-not-scale,0.685280044837856,0.9064429829450452,1.13462267305763,0.9055398301657904,0.9070903272890586,0.92227325947942,0.8819672131147541
45b2cbdeb01e8f9f56f9f09e135911d5,rf,sex,drop-non-german,do-not-scale,0.65,0.9156615761899454,1.144064206888864,0.9158107561665992,0.912255094593836,0.924885166171305,0.8913561847988077
0f0bf66f94f8d528e4a569e0bcc0dc08,gbm,nationality,keep-all,scale,0.6627967829558848,0.9111247352580536,1.1091405640396834,0.9137350047176168,0.9094481558412396,0.924795100423309,0.884053651266766
ac2661532313ce5bf73dd22f153883ec,logreg,sex,drop-non-german,do-not-scale,0.6674386630626485,0.912362055512206,1.2164084271541633,0.9114975064024802,0.937236849491944,0.9487525893902548,0.9181818181818182
270e3631d4e7f85139c48ec51859cbf4,gbm,nationality,keep-all,do-not-scale,0.6627967829558848,0.9111247352580536,1.1091405640396834,0.9137350047176168,0.9094481558412396,0.924795100423309,0.884053651266766
af0be4c20ffd8d7fc878173326154c02,penalized_logreg,none,drop-non-german,scale,0.6602982095488359,0.911470293166871,1.1247464050830454,0.9114166329694028,0.9104586537921744,0.9257858236512654,0.885096870342772
6e2460c2cbf4a6b3c5ec2bf34be47547,logreg,nationality-sex,drop-non-german,scale,0.6603291286528405,0.9114145580202876,1.124757552112362,0.9116322954576088,0.910570931342278,0.9257858236512654,0.8853949329359165
f53a9b3ceef061ce43a7e0f829006479,elasticnet,nationality-sex,drop-non-german,scale,0.6601990896192984,0.9114145580202876,1.1246906699364618,0.9116592532686346,0.9104586537921744,0.9256056921552732,0.8853949329359165
9c629fa61df9bd6520f47c28b2e845d5,gbm,sex,keep-all,scale,0.6614270875456063,0.9113476758443876,1.10911826998105,0.912980186008896,0.9093920170661876,0.9253354949112852,0.88301043219076
3cdef01abbfd85a5f0b277d64c9425c5,penalized_logreg,none,drop-non-german,do-not-scale,0.668098115767289,0.9124623787760562,1.218883067662468,0.9118210001347892,0.938921012743502,0.9500135098621996,0.9205663189269748
8dfa56aecf69d61fcb25d8c2973563fc,penalized_logreg,age,keep-all,do-not-scale,0.6649481465457131,0.9131869356816408,1.254966001560584,0.9131419328750504,0.9636220737663505,0.9691074484373592,0.9545454545454546
de6d55feceb94a23585f9ab70ec712e7,rf,sex,keep-all,do-not-scale,0.65,0.9151934009586444,1.1391372199308885,0.9151637687019814,0.912311233368888,0.9257858236512654,0.8900149031296573
bd5eb995e959eab90b9c2501c38dbb11,penalized_logreg,none,keep-all,scale,0.660980196706658,0.9113699699030208,1.1243897001449117,0.9119557891899178,0.910795486442486,0.9255156264072774,0.8864381520119226
2f633861fccfade6a66fb3c983dc3d3d,rf,nationality,drop-non-german,do-not-scale,0.65,0.9151934009586444,1.142927209898562,0.9152176843240328,0.9110200415426936,0.924885166171305,0.8880774962742176
861a0749f9d1dfb198ab1fc9ade35a18,penalized_logreg,age,keep-all,scale,0.6626998985195545,0.9106231189388028,1.124969345669379,0.9097722064968324,0.9078201313647336,0.9243447716833288,0.8804769001490313
0a2c19c1f4df54a19bbf9ad99d314fc9,rf,none,drop-non-german,scale,0.65,0.9158733697469624,1.146494259279902,0.9169699420407064,0.9101779599169146,0.9235341799513644,0.8880774962742176
367a9c68d15d6fdd51c64ae309cb359c,rf,nationality-sex,drop-non-german,do-not-scale,0.65,0.91635269200758,1.145033998439416,0.916996899851732,0.912142817043732,0.9249752319193012,0.8909090909090909
ccacdf93677b1fdb13835f9726458bbb,elasticnet,nationality-sex,keep-all,do-not-scale,0.685495152060602,0.9064429829450452,1.1347118492921635,0.9055398301657904,0.9070903272890586,0.92227325947942,0.8819672131147541
1d4c9234d9c16972c57fb6f8562c7695,elasticnet,nationality-sex,drop-non-german,do-not-scale,0.6853004975316601,0.9066547765020622,1.1350351131423475,0.9054319989216876,0.9070341885140066,0.92227325947942,0.8818181818181818
d7bdbf272aab48e36e28e914be5b0a44,elasticnet,nationality,drop-non-german,do-not-scale,0.6852432067647816,0.9066324824434288,1.1349793779957642,0.9054319989216876,0.9069780497389548,0.922183193731424,0.8818181818181818
8ce6132743c4c765c8c226af12ddb8d4,logreg,nationality-sex,drop-non-german,do-not-scale,0.6691114541400532,0.9117266748411548,1.211715527811838,0.9116592532686346,0.9351597148150228,0.946681077186346,0.9160953800298064
