,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.46610743826630446,0.46610743826630446,0.10595206709421667,0.10595206709421667
4,universe_exclude_features,universe_model,,0.24083588292176233,0.7421549661621485,0.10280216694685965,0.07163992933649244
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.13687799011342777,0.9999999999999998,0.05130017303968383,4.018236713007937e-15
5,universe_exclude_subgroups,universe_model,,0.043730196442052414,0.5498728098649563,0.02029109840180084,0.12269099264746292
1,universe_exclude_subgroups,,,0.040035175156599365,0.040035175156599365,0.02740747003935578,0.02740747003935578
3,universe_exclude_features,universe_exclude_subgroups,,0.037201672125771856,0.11244849225645287,0.015834179441637362,0.0352726546351122
0,universe_exclude_features,,,0.03521164497408164,0.03521164497408164,0.01813378655153951,0.01813378655153951
