,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.5731473200259145,0.5731473200259145,0.0996189862155432,0.0996189862155432
4,universe_exclude_features,universe_model,,0.15789890185147443,0.8296603315067008,0.04491842910731096,0.07246164844253836
0,universe_exclude_features,,,0.09861410962931189,0.09861410962931189,0.0574677842992302,0.0574677842992302
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.09220744960601787,0.9999999999999996,0.03560265082079928,3.570881820475023e-15
5,universe_exclude_subgroups,universe_model,,0.04933611733317855,0.6320277450194627,0.05246164036093479,0.07594143666394695
3,universe_exclude_features,universe_exclude_subgroups,,0.019251793893732674,0.12741021118341406,0.010663697948000818,0.0597160207111677
1,universe_exclude_subgroups,,,0.0095443076603695,0.0095443076603695,0.011263113973309516,0.011263113973309516
