,level_0,level_1,level_2,individual importance,total importance,individual std,total std
0,universe_exclude_features,,,0.4805421070793609,0.4805421070793609,0.3737040994999223,0.3737040994999223
2,universe_model,,,0.3819088868721172,0.3819088868721172,0.3403218828560004,0.3403218828560004
4,universe_exclude_features,universe_model,,0.07740236183702634,0.9398533557885045,0.10441382180606489,0.10452018261421164
1,universe_exclude_subgroups,,,0.022852769421873795,0.022852769421873795,0.05937125625278772,0.05937125625278772
5,universe_exclude_subgroups,universe_model,,0.019230357537178257,0.4239920138311693,0.04198544521706912,0.36965381916317097
3,universe_exclude_features,universe_exclude_subgroups,,0.017165612834765406,0.5205604893360001,0.052620981736662444,0.3819909415787829
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.0008979044176787182,1.0,0.0024046971898013607,3.234923947455718e-15
