,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.32583510082882583,0.32583510082882583,0.32455105688315916,0.32455105688315916
1,universe_exclude_subgroups,,,0.2867637249720874,0.2867637249720874,0.28009476402081446,0.28009476402081446
0,universe_exclude_features,,,0.16246271982421293,0.16246271982421293,0.26742018158520126,0.26742018158520126
5,universe_exclude_subgroups,universe_model,,0.12905849345649803,0.7416573192574113,0.1624379818895421,0.33031297845532703
4,universe_exclude_features,universe_model,,0.04935797891669234,0.5376557995697311,0.13043535521738753,0.3458962108130576
3,universe_exclude_features,universe_exclude_subgroups,,0.040804192354766705,0.4900306371510671,0.06548313232841775,0.354674797874359
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.005717789646916997,0.9999999999999999,0.011816397876522297,3.309554166306859e-15
