,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.5024117845537682,0.5024117845537682,0.4007119318983848,0.4007119318983848
0,universe_exclude_features,,,0.29448117961972964,0.29448117961972964,0.30944300528152385,0.30944300528152385
3,universe_exclude_features,universe_exclude_subgroups,,0.07211587382193121,0.3896730037096098,0.14077288113205344,0.3594269695429339
4,universe_exclude_features,universe_model,,0.07151115938862432,0.8684041235621223,0.07853287600948992,0.19834959767115015
5,universe_exclude_subgroups,universe_model,,0.02559061238888665,0.5510783472106038,0.0674743013578093,0.3782702775100238
1,universe_exclude_subgroups,,,0.02307595026794894,0.02307595026794894,0.03783718547692409,0.03783718547692409
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.010813439959109463,0.9999999999999983,0.017632111625870913,3.3681594000905857e-15
