,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.4775516004144267,0.4775516004144267,0.10738114876082466,0.10738114876082466
4,universe_exclude_features,universe_model,,0.21824130047199214,0.77981679609258,0.06014454101730144,0.11023999633324633
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.1005076231866026,1.0000000000000009,0.041000091533616334,3.3005802728356663e-15
0,universe_exclude_features,,,0.08402389520616123,0.08402389520616123,0.05178080845032683,0.05178080845032683
5,universe_exclude_subgroups,universe_model,,0.057481455493856984,0.5427879942392622,0.04467887659798986,0.11798827002324315
3,universe_exclude_features,universe_exclude_subgroups,,0.054439186895982844,0.14621802043312254,0.07953858761940805,0.08475329494586521
1,universe_exclude_subgroups,,,0.007754938330978457,0.007754938330978457,0.011689919893619052,0.011689919893619052
