,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.39369497333026965,0.39369497333026965,0.09741171311843855,0.09741171311843855
4,universe_exclude_features,universe_model,,0.2174734491124926,0.684636131435338,0.15566952276072674,0.1558799656081544
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.10200615646264444,1.0000000000000004,0.0490299103086752,2.690716604724566e-15
1,universe_exclude_subgroups,,,0.09239415816346461,0.09239415816346461,0.06787302323763562,0.06787302323763562
0,universe_exclude_features,,,0.0734677089925758,0.0734677089925758,0.060216810637269004,0.060216810637269004
5,universe_exclude_subgroups,universe_model,,0.06413839690038883,0.550227528394123,0.04928981629533306,0.15004836928054344
3,universe_exclude_features,universe_exclude_subgroups,,0.05682515703816471,0.2226870241942051,0.043548756531938265,0.08932356878357237
