,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.4413290482468708,0.4413290482468708,0.128355359483298,0.128355359483298
4,universe_exclude_features,universe_model,,0.2056607953695126,0.7081965595347801,0.10669250286829207,0.09216004906774043
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.09887389458242546,1.0,0.05622401047210403,2.7004335099068503e-15
5,universe_exclude_subgroups,universe_model,,0.09289005931779094,0.5842862023274256,0.05237425187699806,0.14428002563749542
0,universe_exclude_features,,,0.06120671591839663,0.06120671591839663,0.04404568090514563,0.04404568090514563
1,universe_exclude_subgroups,,,0.05006709476276383,0.05006709476276383,0.04216736546149647,0.04216736546149647
3,universe_exclude_features,universe_exclude_subgroups,,0.04997239180223988,0.16124620248340032,0.042380841189511666,0.07035145732498728
