,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.4759566023141223,0.4759566023141223,0.18086087643662752,0.18086087643662752
4,universe_exclude_features,universe_model,,0.20844059568625856,0.7575770906511228,0.12581258554119298,0.12823271644529308
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.1070181651657844,0.9999999999999994,0.05627056304802783,2.8725344651949214e-15
0,universe_exclude_features,,,0.07317989265074196,0.07317989265074196,0.05665386011350646,0.05665386011350646
5,universe_exclude_subgroups,universe_model,,0.06763026797418022,0.5592128142029354,0.05209658872762908,0.18716566464106643
3,universe_exclude_features,universe_exclude_subgroups,,0.05214853229427921,0.1409543688596541,0.05078175634850509,0.08927780850896261
1,universe_exclude_subgroups,,,0.015625943914632925,0.015625943914632925,0.027799289568275945,0.027799289568275945
