universe_id,universe_model,universe_exclude_features,universe_exclude_subgroups,q_hat,coverage,avg_size
ff781731dcdee78c262ffadb63156903,penalized_logreg,nationality,keep-all,0.8336162491193647,0.9558131757886524,1.4579868465054062
d68204b406b3db0bba5ef9dfec05f208,logreg,nationality,keep-all,0.8336162491193647,0.9558131757886524,1.4579868465054062
41371f7240f084e92e79a21cc3dc2e21,logreg,none,drop-non-german,0.8357097341873378,0.955501058967785,1.458744844498941
f4aa7f1a938cc9245663d6b4d0596022,gbm,none,drop-non-german,0.8152064438079663,0.9553450005573516,1.3094303868019173
aeda81ea848062c8b09ab80466cf07c3,logreg,sex,drop-non-german,0.8418522153959682,0.9549771485899008,1.4573514658343552
37cb643ae0e5b9b35a6d97f8a210c57b,gbm,nationality,drop-non-german,0.8152064438079663,0.9553115594694014,1.3096644744175676
a1534888820cbfa843f49d2b4ef2514e,logreg,nationality,drop-non-german,0.836828074017718,0.955255824322818,1.4590458142904916
1485d41cc20949b2d1406cdcf750dbda,elasticnet,none,keep-all,0.8396546843262721,0.9549994426485342,1.4239215249136106
04a5873dee9dbd78c41d68119fadece0,rf,none,drop-non-german,0.79,0.957429495039572,1.3659904135547876
ac61dc4975b4c6e37c44b92d00e83325,penalized_logreg,none,keep-all,0.8270736881876347,0.956181027756103,1.4605172221602942
ecc217051ed97339dd01598751d6478c,logreg,nationality-sex,drop-non-german,0.8292956615541709,0.9557351465834356,1.4592687548768253
418d84cd0641196cf291bbbd3833bfcd,elasticnet,sex,keep-all,0.8396352196601715,0.9549994426485342,1.4239326719429273
ffcd4f6171bad9a7f64bfbb74787f9df,penalized_logreg,nationality,drop-non-german,0.836828074017718,0.955255824322818,1.4590458142904916
e75ce59377fbc92b60669778f4c1fa95,logreg,nationality-sex,keep-all,0.8199806342763865,0.9561029985508862,1.4572288485118716
12a5fec09c1184e64c2b9398314839d5,logreg,sex,keep-all,0.8326360729427653,0.9556682644075354,1.4587002563816742
d4731eaaaf4b2afab254d28e236bc980,elasticnet,none,drop-non-german,0.8397604565547153,0.954865678296734,1.423832348679077
47601ce248a345cf80aa089cf9880cfa,rf,nationality-sex,drop-non-german,0.79,0.9573849069223052,1.3624679522907146
ece8e37d5f78a0b66773e8fa931dd6da,gbm,nationality-sex,keep-all,0.8087847266321087,0.9557797347007022,1.3130197302418904
8b2c11c19583e4d5b9a213b53e76730c,elasticnet,nationality-sex,keep-all,0.8396865663066357,0.9549882956192176,1.4239326719429273
027bf915af12d3f79f06c5867c0eddfb,rf,nationality-sex,keep-all,0.79,0.9588117266748412,1.372032103444432
e8eaa36c366e8a0bafd246c24a31869b,penalized_logreg,nationality-sex,drop-non-german,0.8292956615541709,0.9557351465834356,1.4592687548768253
8015739cd8f10b3c9f2ea76759557c73,penalized_logreg,sex,keep-all,0.8326360729427653,0.9556682644075354,1.4587002563816742
1a046868f549224919d5aea86afcaf91,rf,none,keep-all,0.79,0.9589789321145916,1.3703711960762457
8965b8a88eed81e49c3d4c63da1705e0,elasticnet,sex,drop-non-german,0.8397723564001931,0.954899119384684,1.423865789767027
e95235cea9f300cc59b8bea683dd19b1,rf,sex,drop-non-german,0.79,0.9567049381339872,1.3606509865120946
87e1eecf7f2d100c4707dece3f2e668c,penalized_logreg,none,drop-non-german,0.8357097341873378,0.955501058967785,1.458744844498941
f1db0d7a1518f502c13447817490b26e,gbm,nationality,keep-all,0.8076976930798951,0.9556348233195854,1.31090179467172
630882776e420e2a50ab68c1f76a8700,rf,nationality,keep-all,0.79,0.959179578642292,1.3729015717311337
b1622a8e1f50f7787d172a6f7cf6c977,penalized_logreg,nationality-sex,keep-all,0.8199806342763865,0.9561029985508862,1.4572288485118716
c0e33c3e2220da8b49cf0ce915df6679,logreg,none,keep-all,0.8270736881876347,0.956181027756103,1.4605172221602942
884b918e8ede8673362fc916ebb89c2b,elasticnet,nationality-sex,drop-non-german,0.8398251933413574,0.9548768253260506,1.4236762902686435
07869d397bdca213cd6ca6d37961cca4,elasticnet,nationality,drop-non-german,0.8397789711668693,0.9548433842381006,1.4236762902686435
c695dfe1666988e99123eaf9290c2d84,penalized_logreg,sex,drop-non-german,0.8418522153959682,0.9549771485899008,1.4573514658343552
d666e2b26ad834a3a31caefc780fa30b,gbm,sex,keep-all,0.8077001785583311,0.9556682644075354,1.311336528815071
477d49ef12fbd6cddc136c12b06b590b,gbm,nationality-sex,drop-non-german,0.815152973165166,0.9553895886746182,1.3103555902352024
ebd6a5f4ac7d0aad41b3828de7e9e29e,gbm,sex,drop-non-german,0.8153865300570431,0.9554564708505184,1.310578530821536
26d2c708e959f2c346ebb7bcb62376f8,elasticnet,nationality,keep-all,0.8396423331492123,0.9549771485899008,1.4238434957083936
0f43291b17a5b4460355d5d20bb34cd2,gbm,none,keep-all,0.8083668742696616,0.9555345000557351,1.3101103555902351
81ac7889fc07902c57957226865f24e5,rf,sex,keep-all,0.79,0.9582766692676402,1.366826440753539
338397ae0ea0b5f086116cbd3197dacc,rf,nationality,drop-non-german,0.79,0.9572399955411884,1.3607178686879946
