,level_0,level_1,level_2,level_3,level_4,level_5,individual importance,total importance,individual std,total std
3,universe_scale,,,,,,0.2337644565144325,0.2337644565144325,0.0062120646404906195,0.0062120646404906195
2,universe_model,,,,,,0.20771701401498524,0.20771701401498524,0.003929167109350435,0.003929167109350435
15,universe_model,universe_scale,,,,,0.1670172755629235,0.6084987460923413,0.004427980022077617,0.008404931831994672
8,universe_exclude_features,universe_scale,,,,,0.0789485374202177,0.3581429793883445,0.0033600755177702504,0.004839210381527068
25,universe_exclude_features,universe_model,universe_scale,,,,0.055028428831831164,0.8306956024503083,0.00294072142713434,0.004888118645256555
0,universe_exclude_features,,,,,,0.04542998545369424,0.04542998545369424,0.0034750178003249265,0.0034750178003249265
16,universe_model,universe_training_size,,,,,0.04312262677353272,0.2570402887484388,0.006163726705972029,0.006364806580546995
7,universe_exclude_features,universe_model,,,,,0.04278990465222387,0.2959369041209034,0.0030526772810147134,0.006655380493782355
37,universe_model,universe_scale,universe_training_size,,,,0.028589671008363293,0.6884368978444322,0.004602023687187851,0.009692352897059974
20,universe_training_size,universe_training_year,,,,,0.0089713060126505,0.016488079781136658,0.0013075352264317417,0.0013277732668199953
26,universe_exclude_features,universe_model,universe_training_size,,,,0.008527189326899404,0.35526794446088006,0.0016901688843742096,0.009923002448155265
47,universe_exclude_features,universe_model,universe_scale,universe_training_size,,,0.00758692064208224,0.9304832689586073,0.0011589156138350606,0.010169926912311457
4,universe_training_size,,,,,,0.006200647959920846,0.006200647959920846,0.0012760963153220595,0.0012760963153220595
12,universe_exclude_subgroups,universe_scale,,,,,0.006066006820850546,0.24108071958307267,0.0007521753171459094,0.006226121623904262
31,universe_exclude_subgroups,universe_model,universe_scale,,,,0.004956557136353151,0.6255996832718647,0.0007946293217201465,0.008668308337953009
11,universe_exclude_subgroups,universe_model,,,,,0.00482811697453003,0.21379538723730487,0.0006999377156459763,0.0037439610343543215
17,universe_model,universe_training_year,,,,,0.0036954993177445153,0.21272863914129508,0.0007706761734006738,0.003851290312600921
6,universe_exclude_features,universe_exclude_subgroups,,,,,0.0025904517873523943,0.049270693488836226,0.0008412930310297714,0.0032675765315763627
28,universe_exclude_features,universe_scale,universe_training_size,,,,0.0022548285076027974,0.3701042381457659,0.0009148314563020077,0.004525470062763764
53,universe_exclude_subgroups,universe_model,universe_training_size,universe_training_year,,,0.0021862487387760907,0.28664765596562114,0.001274233168683257,0.0053290853479158636
39,universe_model,universe_training_size,universe_training_year,,,,0.0020315213514011245,0.27305474123880025,0.0009187040060264041,0.006060839244670382
18,universe_scale,universe_training_size,,,,,0.002025206010274003,0.24199031048462738,0.000781969533484103,0.006193245082788843
36,universe_exclude_subgroups,universe_training_size,universe_training_year,,,,0.0020237809426440325,0.02089461239742153,0.0010696594759032458,0.0019252065093587362
21,universe_exclude_features,universe_exclude_subgroups,universe_model,,,,0.0017676967697815762,0.306373425900357,0.0005011195581494645,0.006597697606886685
55,universe_model,universe_scale,universe_training_size,universe_training_year,,,0.0016583347276988855,0.7077891090574832,0.000701282185299073,0.0089478562800372
49,universe_exclude_features,universe_model,universe_training_size,universe_training_year,,,0.0014869385890050554,0.3756590746913462,0.0006099915763343781,0.00887051331442426
9,universe_exclude_features,universe_training_size,,,,,0.0014805762796237234,0.05311120969323882,0.0003283206769754367,0.003564760557224535
60,universe_exclude_features,universe_model,universe_scale,universe_training_size,universe_training_year,,0.0014738546666872342,0.9577918732685118,0.000429995049541233,0.008098453132768019
5,universe_training_year,,,,,,0.0013161258085653093,0.0013161258085653093,0.00048248021490730146,0.00048248021490730146
32,universe_exclude_subgroups,universe_model,universe_training_size,,,,0.0012518439170678564,0.26520676532712684,0.0006190239731717126,0.006538924702754624
1,universe_exclude_subgroups,,,,,,0.0012502562477895828,0.0012502562477895828,0.0003873701190355894,0.0003873701190355894
27,universe_exclude_features,universe_model,universe_training_year,,,,0.0011858514277978422,0.3028043167803692,0.00041176881169284506,0.006423482502251892
61,universe_exclude_subgroups,universe_model,universe_scale,universe_training_size,universe_training_year,,0.0011405536157019724,0.7360678372996848,0.001177338156848504,0.008334616778940129
42,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_training_size,,,0.001127935964183746,0.3692981357077749,0.0002736567845908761,0.009770194851445766
58,universe_exclude_features,universe_exclude_subgroups,universe_model,universe_training_size,universe_training_year,,0.0010595374170977753,0.3979734784233999,0.00037183097688224504,0.00720868640977808
