,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.8034201924868267,0.8034201924868267,0.3472120314032459,0.3472120314032459
0,universe_exclude_features,,,0.16158184353555155,0.16158184353555155,0.3299836260651267,0.3299836260651267
4,universe_exclude_features,universe_model,,0.03097164056040042,0.9959736765827787,0.07861820529579464,0.006169314367797302
5,universe_exclude_subgroups,universe_model,,0.0019351559388372367,0.8071704003619751,0.0031991639437375543,0.3491914660193025
1,universe_exclude_subgroups,,,0.0018150519363111604,0.0018150519363111604,0.002955794606694121,0.002955794606694121
3,universe_exclude_features,universe_exclude_subgroups,,0.0001450595637154393,0.1635419550355781,0.00046943663828924415,0.32912450532716003
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.0001310559783576939,0.9999999999999999,0.00046974210819938244,4.368131539346454e-15
