,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.31605632262348027,0.31605632262348027,0.38083148115042376,0.38083148115042376
0,universe_exclude_features,,,0.27615307466021205,0.27615307466021205,0.24793911067433383,0.24793911067433383
1,universe_exclude_subgroups,,,0.19391743688937804,0.19391743688937804,0.25755937189276745,0.25755937189276745
3,universe_exclude_features,universe_exclude_subgroups,,0.09745896273205651,0.5675294742816466,0.14630954203562122,0.3914272582073173
4,universe_exclude_features,universe_model,,0.09575782636389947,0.6879672236475918,0.16210394021852234,0.3585324983429441
5,universe_exclude_subgroups,universe_model,,0.019746189740442146,0.5297199492533002,0.06326256768613771,0.3457293511264502
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.0009101869905294198,0.9999999999999978,0.002260376499337684,8.087548007355462e-15
