,level_0,level_1,level_2,individual importance,total importance,individual std,total std
0,universe_exclude_features,,,0.34955899030382437,0.34955899030382437,0.20639547526894683,0.20639547526894683
2,universe_model,,,0.26731249704778215,0.26731249704778215,0.16616815406283725,0.16616815406283725
4,universe_exclude_features,universe_model,,0.19081556602292907,0.8076870533745355,0.12924239702601173,0.17317666936365542
3,universe_exclude_features,universe_exclude_subgroups,,0.08054807173394739,0.44555393488814166,0.12771542029065774,0.19796185141303052
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.0613587386493826,1.0000000000000002,0.04465867475243591,2.6747793474247e-15
5,universe_exclude_subgroups,universe_model,,0.034959263391764764,0.3177186332899167,0.03667893486896032,0.16772307586959292
1,universe_exclude_subgroups,,,0.015446872850369858,0.015446872850369858,0.02275214414612175,0.02275214414612175
