,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.4148027643254179,0.4148027643254179,0.28827240740656557,0.28827240740656557
0,universe_exclude_features,,,0.23337128505055632,0.23337128505055632,0.25320496767952033,0.25320496767952033
4,universe_exclude_features,universe_model,,0.19357226472956068,0.8417463141055349,0.13964905688870846,0.09887518767944938
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.05047816927679584,0.9999999999999994,0.044691969364738675,3.0818689319534814e-15
3,universe_exclude_features,universe_exclude_subgroups,,0.0486870650880091,0.3096735995723754,0.04997661363750788,0.26388335735224916
5,universe_exclude_subgroups,universe_model,,0.03147320209584967,0.4738912158550775,0.04087305144523748,0.29280808551680554
1,universe_exclude_subgroups,,,0.02761524943380992,0.02761524943380992,0.028345252489325342,0.028345252489325342
