,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.3172699179280226,0.3172699179280226,0.26799795554492994,0.26799795554492994
0,universe_exclude_features,,,0.310373960802371,0.310373960802371,0.33477556264302905,0.33477556264302905
1,universe_exclude_subgroups,,,0.11146115491227813,0.11146115491227813,0.16575220232432678,0.16575220232432678
4,universe_exclude_features,universe_model,,0.10889863184707853,0.7365425105774721,0.14780416706433838,0.20466091983795037
5,universe_exclude_subgroups,universe_model,,0.0855949147038379,0.5143259875441386,0.09944372903843773,0.35109448721742464
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.03836095235135912,1.0000000000000004,0.03571738385387841,2.1508332632768494e-15
3,universe_exclude_features,universe_exclude_subgroups,,0.028040467455053248,0.44987558316970233,0.029093149268787196,0.3232838043125807
