,level_0,level_1,level_2,individual importance,total importance,individual std,total std
0,universe_exclude_features,,,0.32469041595028897,0.32469041595028897,0.223306724439476,0.223306724439476
2,universe_model,,,0.20821080598656555,0.20821080598656555,0.19759089767671914,0.19759089767671914
4,universe_exclude_features,universe_model,,0.1356113047651053,0.6685125267019598,0.13019462119921973,0.21509669693285766
3,universe_exclude_features,universe_exclude_subgroups,,0.11242875714868468,0.5412200451967762,0.13934246027996225,0.2635693847699038
1,universe_exclude_subgroups,,,0.10410087209780262,0.10410087209780262,0.12664347690241437,0.12664347690241437
5,universe_exclude_subgroups,universe_model,,0.07102014519872246,0.3833318232830906,0.08913953363239158,0.2600245883214679
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.04393769885283009,0.9999999999999997,0.03627450230906152,2.6852712547870858e-15
