,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.4227231193622434,0.4227231193622434,0.4785812484714973,0.4785812484714973
0,universe_exclude_features,,,0.3114692207338658,0.3114692207338658,0.4306441996017969,0.4306441996017969
1,universe_exclude_subgroups,,,0.20091448759620759,0.20091448759620759,0.3447098555872995,0.3447098555872995
3,universe_exclude_features,universe_exclude_subgroups,,0.042917777238409914,0.5553014855684834,0.11284081617580584,0.4818754635723662
5,universe_exclude_subgroups,universe_model,,0.021972736495415923,0.6456103434538669,0.08220233995792221,0.44922651756736093
4,universe_exclude_features,universe_model,,2.6585738677125622e-06,0.7341949986699771,8.037438825701025e-06,0.38880674764235706
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.0,1.0000000000000104,0.0,2.5317256069802182e-14
