,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.22476040896600014,0.22476040896600014,0.12412264673599081,0.12412264673599081
0,universe_exclude_features,,,0.20458025589555381,0.20458025589555381,0.17331466026647446,0.17331466026647446
1,universe_exclude_subgroups,,,0.20246617784592622,0.20246617784592622,0.16438792981088335,0.16438792981088335
3,universe_exclude_features,universe_exclude_subgroups,,0.11924680231504142,0.5262932360565215,0.08942400706011974,0.18233554821640335
5,universe_exclude_subgroups,universe_model,,0.11740248646264721,0.5446290732745735,0.09748489405367375,0.21323628859801438
4,universe_exclude_features,universe_model,,0.08886230943217929,0.5182029742937333,0.08824311207849646,0.20930576480052498
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.04268155908265108,0.9999999999999992,0.036287423134026504,2.624186561422606e-15
