,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.46376907632436964,0.46376907632436964,0.22360392835718734,0.22360392835718734
4,universe_exclude_features,universe_model,,0.1877942853770797,0.8182205289341778,0.17321398787988415,0.2444427586875808
0,universe_exclude_features,,,0.16665716723272844,0.16665716723272844,0.135424674425799,0.135424674425799
5,universe_exclude_subgroups,universe_model,,0.08778552821122487,0.6025845522775002,0.150128159709196,0.262476542809839
1,universe_exclude_subgroups,,,0.051029947741905564,0.051029947741905564,0.09743360062757112,0.09743360062757112
3,universe_exclude_features,universe_exclude_subgroups,,0.02653221057319544,0.24421932554782946,0.04321752227370573,0.14509807585178458
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.016431784539495627,0.9999999999999993,0.034392203093558914,2.286931428132024e-15
