,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.6028020490749699,0.6028020490749699,0.2639247102896889,0.2639247102896889
4,universe_exclude_features,universe_model,,0.16012904143281254,0.9162181759661736,0.13003300800626605,0.12111067004324481
0,universe_exclude_features,,,0.1532870854583911,0.1532870854583911,0.21585092811919493,0.21585092811919493
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.03706768248959157,1.0000000000000004,0.06863314090811183,2.2535066179978845e-15
5,universe_exclude_subgroups,universe_model,,0.027024996780415443,0.6397731780469442,0.04210065345431358,0.2676749665150077
1,universe_exclude_subgroups,,,0.009946132191558791,0.009946132191558791,0.015705377309716963,0.015705377309716963
3,universe_exclude_features,universe_exclude_subgroups,,0.00974301257226136,0.17297623022221123,0.01637673570379266,0.21159411381491858
