,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.35862302756365566,0.35862302756365566,0.2915006605381658,0.2915006605381658
5,universe_exclude_subgroups,universe_model,,0.18186007511092167,0.7053998935461747,0.17877729444395785,0.31445436933388343
1,universe_exclude_subgroups,,,0.16491679087159739,0.16491679087159739,0.19951716980018636,0.19951716980018636
0,universe_exclude_features,,,0.16124033359569673,0.16124033359569673,0.2085752018673126,0.2085752018673126
4,universe_exclude_features,universe_model,,0.06397194657469041,0.5838353077340428,0.08807809124180889,0.2467153628010671
3,universe_exclude_features,universe_exclude_subgroups,,0.048463279667711134,0.3746204041350052,0.08800912442045425,0.31432214510032697
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.020924546615725466,0.9999999999999984,0.029052006336636942,3.053491779384298e-15
