,level_0,level_1,level_2,individual importance,total importance,individual std,total std
0,universe_exclude_features,,,0.29557200150476487,0.29557200150476487,0.2036458368421835,0.2036458368421835
1,universe_exclude_subgroups,,,0.2364946000565064,0.2364946000565064,0.19970112566929385,0.19970112566929385
3,universe_exclude_features,universe_exclude_subgroups,,0.1417716980392624,0.6738382996005338,0.10941697357219564,0.19928774479257447
2,universe_model,,,0.11044063365423745,0.11044063365423745,0.09234492277423534,0.09234492277423534
4,universe_exclude_features,universe_model,,0.07788313890553464,0.483895774064537,0.07164810995599308,0.2663784768611885
5,universe_exclude_subgroups,universe_model,,0.07748833311115837,0.4244235668219022,0.07633272905097507,0.1777677093836733
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.06034959472853552,0.9999999999999997,0.04989437157163694,2.352029160588341e-15
