,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.5244772349354759,0.5244772349354759,0.3122514553134326,0.3122514553134326
0,universe_exclude_features,,,0.21093182321752812,0.21093182321752812,0.183778011998209,0.183778011998209
4,universe_exclude_features,universe_model,,0.1524414442922424,0.8878505024452464,0.11702514599349685,0.18595606580145713
1,universe_exclude_subgroups,,,0.031379437522857906,0.031379437522857906,0.06268744438062811,0.06268744438062811
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.02870629782158249,0.9999999999999984,0.049397392267017066,3.770776523930062e-15
5,universe_exclude_subgroups,universe_model,,0.028029658027571555,0.5838863304859054,0.04156796538159617,0.27548843578637117
3,universe_exclude_features,universe_exclude_subgroups,,0.024034104182740098,0.26634536492312605,0.05190287602059209,0.22637605667481334
