,level_0,level_1,level_2,individual importance,total importance,individual std,total std
0,universe_exclude_features,,,0.5407968314806131,0.5407968314806131,0.46876583911598874,0.46876583911598874
1,universe_exclude_subgroups,,,0.24733135790957445,0.24733135790957445,0.42717622947997125,0.42717622947997125
2,universe_model,,,0.1678054621593305,0.1678054621593305,0.3346480524644672,0.3346480524644672
4,universe_exclude_features,universe_model,,0.042027265438604876,0.7506295590785484,0.11265927695856376,0.429677193094349
5,universe_exclude_subgroups,universe_model,,0.0016078888534447596,0.41674470892234966,0.004254074042047614,0.46524436001233044
3,universe_exclude_features,universe_exclude_subgroups,,0.0004311941584281584,0.7885593835486157,0.0006520252425048144,0.3687564983833389
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.0,0.9999999999999958,0.0,1.8151806931701546e-14
