,level_0,level_1,level_2,individual importance,total importance,individual std,total std
2,universe_model,,,0.5153485776191418,0.5153485776191418,0.4829944431824966,0.4829944431824966
0,universe_exclude_features,,,0.33783532079666767,0.33783532079666767,0.4652349634372913,0.4652349634372913
1,universe_exclude_subgroups,,,0.13980705866498683,0.13980705866498683,0.33817203932720546,0.33817203932720546
4,universe_exclude_features,universe_model,,0.00362199647117436,0.8568058948869838,0.011486881458912008,0.3378171384288737
5,universe_exclude_subgroups,universe_model,,0.003086678883623716,0.6582423151677522,0.011549294845509818,0.4649229816705021
3,universe_exclude_features,universe_exclude_subgroups,,0.00030036756440605163,0.47794274702606054,0.0011238725161072007,0.4870811547266401
6,universe_exclude_features,universe_exclude_subgroups,universe_model,0.0,1.0000000000000002,0.0,1.2396109490327045e-15
